Sigla,Descrição da Sigla,Componente,Descrição do Componente,Domínio Funcional
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-gera-extrato,"Sistema batch Java responsável pela geração de arquivos de extrato bancário no formato CNAB 240 para clientes do Banco Votorantim/BV. O sistema processa extratos de contas correntes com diferentes periodicidades (diário, semanal, quinzenal e mensal), realizando leitura de saldos históricos, movimentações bancárias e gerando arquivos estruturados conforme layout CNAB 240. Suporta três tipos de processamento (1, 2 e 3) e implementa lógica de reprocessamento para divergências detectadas.",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-gera-interface-total-banco,"Sistema batch Java responsável por gerar interface contábil (arquivo M06) com movimentações bancárias do Total Banco. O sistema busca movimentações de contas correntes (tipo conta 5, banco 161) em bases de dados Sybase e MySQL, processa os dados considerando dias úteis e não úteis, gera arquivo texto formatado e atualiza flags de controle de processamento. Suporta processamento inicial e reprocessamento de datas específicas.",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-gera-movimento-contabil,"Sistema batch Java responsável por gerar arquivos de movimento contábil para integração com o sistema SOFTPAR. O sistema busca movimentações bancárias do dia anterior (ou de uma data específica), agrupa por lote, gera registros de detalhe e rodapé, e produz arquivos texto formatados para processamento contábil. Suporta dois bancos (Banco Votorantim e Banco BV S.A.) e possui flag para formato IRFS09.",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-proc-estorno-rel,"Sistema batch Java responsável por processar e gerar relatórios de estornos não ocorridos em transações de cartão de débito. O sistema consulta transações marcadas como não estornadas no banco de dados CCBD, processa essas informações e gera um arquivo CSV com os detalhes das transações para análise e conciliação.",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-proc-estorno,"Sistema batch Java responsável por processar estornos de transações de cartão de débito. O sistema consulta transações pendentes de estorno na tabela `TbConciliacaoTransacao`, processa os dados extraindo informações do cartão a partir da ""quina"" (identificador único), e publica mensagens em uma fila RabbitMQ para processamento posterior do estorno.",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-proc-pgmt-agendado,"Sistema batch Java responsável pelo processamento de agendamentos de pagamentos do CCBD (Conta Corrente Banco Digital). O sistema lê lançamentos agendados de um banco de dados SQL Server, processa-os e envia mensagens para uma fila IBM MQ para posterior liquidação. Opera com base em uma data de processamento parametrizável e prioriza transações BVIN (código 497) no processamento.",02.01 - Agendamento e Recorrência
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-relatorios-contabeis,O sistema **javabatch-ccbd-base-relatorios-contabeis** é um job batch desenvolvido em Java utilizando o framework Spring Batch. Seu objetivo é gerar relatórios contábeis diários em formato Excel (XLSX) a partir de dados de movimentações bancárias e saldos de contas correntes armazenados em banco de dados Sybase. O sistema consulta duas categorias principais de informações: - **Maiores Saldos**: Contas com saldos totais diferentes de zero em uma data específica - **Movimentações Analíticas**: Det,04.05 - Notificações e Relatórios
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-tarifador-contabilizacao,"Sistema de processamento batch Java desenvolvido para tarifação e contabilização no contexto de conta corrente digital (CCBD) do Banco Votorantim. O sistema utiliza o framework BV Sistemas para processamento em lote, seguindo o padrão Reader-Processor-Writer. Atualmente, o código está em estado de template/esqueleto, com classes vazias aguardando implementação das regras de negócio específicas.",04.08 - Tarifas
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-transacao-comprovante-fiscal,"Sistema batch Java responsável por consultar transações de débitos veiculares pagas via conta corrente que ainda não possuem comprovante fiscal gerado, e publicar essas transações em uma fila RabbitMQ para processamento posterior. O sistema opera em lotes de até 500 registros por execução, consultando o banco de dados MySQL e enviando as informações para uma fila de mensageria para geração de comprovantes fiscais.",04.09 - Tributos
CCDB-BASE,Conta Corrente e Débitos - Base,sbatch-ccbd-base-cc-virada-data,"O **sbatch-ccbd-base-cc-virada-data** é um sistema batch desenvolvido em Java com Spring Batch, responsável pelo processo de **virada de data contábil** do sistema de Conta Corrente do Banco Votorantim. O sistema realiza a atualização da data contábil, validando dias úteis, atualizando controles de data, gerenciando rotinas de execução por agência e publicando informações de contas ativas em filas do Google Cloud Pub/Sub para processamento posterior (geração de histórico de saldos). O batch é ex",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sbatch-ccbd-base-conciliacao-arquivo-tif,"Sistema de processamento batch desenvolvido em Spring Batch para realizar a conciliação de transações de cartão de débito provenientes de arquivos TIF (Transaction Interchange Format). O sistema lê registros de conciliação da tabela `TbConciliacaoTransacao`, processa dados JSON armazenados em campos de texto, e insere os dados normalizados na tabela `TbConciliacaoTransacaoDebito`. O processamento é executado em lotes (chunks) de 100 registros, buscando transações dos últimos 40 dias que ainda nã",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sbatch-ccbd-base-conta-corrente-gestao-caixa,"Sistema de processamento batch desenvolvido em Spring Batch para gestão de saldos de contas correntes. O sistema realiza a consolidação de informações de contas correntes provenientes de diferentes bases de dados (BCO, SPB e GLOBAL), processando dados de clientes, fundos, veículos e variações de saldo. Os dados são agregados e armazenados em tabelas temporárias para posterior consulta por sistemas front-end. O sistema opera em dois modos principais: - **Modo Legado**: Processa dados sintéticos d",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sbatch-ccbd-base-gera-movimento-contabil,"Sistema batch desenvolvido em Spring Batch para geração de arquivos contábeis posicionais com extensão .MV destinados ao sistema Softpar. O componente realiza a leitura de dados consolidados da base CCBD (Conta Corrente Banco Digital), processa movimentações contábeis, gera arquivos no formato posicional específico e transfere os arquivos via protocolo SMB para diretórios de rede. Suporta dois formatos de arquivo: IFRS9 (contas com 25 posições) e formato legado (contas com 15 posições). A execuç",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sbatch-ccbd-base-historico,"O **sbatch-ccbd-base-historico** é um sistema batch desenvolvido em Java com Spring Batch, responsável pela consolidação e movimentação diária de dados históricos de contas correntes. O sistema realiza a migração de dados de tabelas operacionais para tabelas de histórico, incluindo movimentações, saldos indisponíveis, saldos bloqueados, avisos de lançamento e limites de conta corrente. A execução ocorre de forma paralela através de múltiplos flows, otimizando o processamento de grandes volumes d",05.02 - Logs e Auditoria
CCDB-BASE,Conta Corrente e Débitos - Base,sbatch-ccbd-base-irrf,"O sistema **sbatch-ccbd-base-irrf** é um componente batch desenvolvido em Java com Spring Batch para geração de relatórios mensais de IRRF (Imposto de Renda Retido na Fonte). O sistema realiza consultas paginadas de saldos de contas correntes em banco de dados Sybase, processa os dados, gera arquivos CSV localmente e transfere esses arquivos para um File Server via protocolo SMB. O processamento é executado de forma paralela para diferentes combinações de banco e tipo de pessoa (PF/PJ), otimizan",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sbatch-ccbd-base-migration,"Sistema de migração em lote (batch) desenvolvido em Spring Batch para migrar registros históricos de movimentações bancárias do banco de dados Sybase (DBCONTACORRENTE) para o Google Cloud Spanner. O sistema lê movimentações da tabela `TbHistoricoMovimento`, processa em chunks configuráveis e publica as mensagens no Google Cloud Pub/Sub para posterior consumo e persistência no Spanner. Utiliza particionamento por conta corrente para processamento paralelo e controla o status de migração através d",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-acl-conta-corrente,"O **sboot-ccbd-base-acl-conta-corrente** é um componente ACL (Anti-Corruption Layer) desenvolvido em Java com Spring Boot, destinado ao descomissionamento do sistema legado NCCS (Novo Core de Conta Corrente). Sua função principal é disponibilizar funcionalidades de consulta de titularidade de contas, tipos de transações, agências e outras configurações relacionadas a contas correntes, atuando como uma camada de transição entre sistemas legados e novos. O sistema segue a arquitetura hexagonal (Po",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-acl-debitos-veiculares,"Sistema ACL (Anti-Corruption Layer) para débitos veiculares do Banco Votorantim/BV. Expõe APIs REST para consulta e pagamento de débitos veiculares (IPVA, DPVAT, Multas, Multas RENAINF, Licenciamento, Transferência, Taxas DETRAN e Primeiro Registro). Suporta pagamentos via conta corrente e cartão de crédito, além de cálculo de parcelas, busca de recibos e consulta de extrato bancário. Integra-se com sistemas legados DETRAN/PRODESP via SOAP Web Services através de API Gateway, isolando a complexi",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-agendamento,"Sistema de gerenciamento de agendamentos de pagamentos do Banco Votorantim, desenvolvido em Java com Spring Boot. O sistema permite criar, consultar, atualizar e cancelar agendamentos de diversos tipos de transações financeiras (PIX, TED, TEF, boletos de consumo/tributo/cobrança e investimentos em CDB). Integra-se com bancos de dados SQL Server e Sybase, filas IBM MQ e RabbitMQ, e suporta operações via Open Banking/Open Finance.",02.01 - Agendamento e Recorrência
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-bloqueios-saldo,"O sistema **sboot-ccbd-base-atom-bloqueios-saldo** é um microsserviço atômico corporativo responsável por gerenciar o monitoramento de bloqueios de saldo em contas correntes de clientes. Ele permite consultar, incluir, atualizar e deletar monitoramentos de bloqueios, além de processar eventos de crédito recebido e atualização de bloqueios através de mensageria (Google Cloud Pub/Sub). O sistema integra-se com banco de dados MySQL para persistência e publica/consome mensagens em tópicos para orque",02.05 - Processamento de Recebimento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-boleto-cash-in,"O sistema **sboot-ccbd-base-atom-boleto-cash-in** é um microserviço atômico desenvolvido em Spring Boot para gerenciar operações de boletos bancários do tipo ""Cash In"" (recebimento). O sistema permite a geração e atualização de boletos bancários, incluindo o cadastro de beneficiários, pagadores e endereços, além do controle de status e sequenciamento de ""nosso número"". Opera com banco de dados SQL Server e expõe APIs REST para integração.",02.05 - Processamento de Recebimento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-cancel-agend,Sistema de cancelamento de agendamentos de lançamentos futuros do Banco Digital (CCBD - Conta Corrente Banco Digital). O sistema permite cancelar agendamentos individuais por NSU (Número Sequencial Único) ou múltiplos agendamentos vinculados a um consentimento específico. Suporta dois tipos de agendamentos: conta corrente tradicional e boletos/pagamentos.,02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-cc-extrato,"Sistema de consulta e gerenciamento de extratos bancários de contas correntes do Banco Votorantim (BV). O sistema fornece APIs REST para consulta de movimentações financeiras, detalhamento de transações, histórico de documentos e categorização de operações bancárias. Suporta diversos tipos de transações incluindo TED, TEF, PIX, boletos, cartão de débito, tarifas e operações de crédito.",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-conciliacao-transacao,"O sistema **sboot-ccbd-base-atom-conciliacao-transacao** é um serviço atômico desenvolvido em Spring Boot para processar e conciliar transações de cartão de débito provenientes de diferentes bandeiras (Visa, Mastercard, TIF, FormC). O sistema consome mensagens de uma fila RabbitMQ contendo dados de transações processadas por diferentes arquivos de bandeiras, realiza validações, persiste informações em banco de dados SQL Server e publica os dados completos em um tópico Google Cloud Pub/Sub para c",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-consulta-conciliacao,"Sistema de consulta de transações conciliadas de cartão de débito do Banco Votorantim (CCBD). O serviço atômico expõe APIs REST para consultar transações processadas a partir de três tipos de arquivos: **T464** (transações Mastercard), **FormC** (transações de conciliação) e **TIF** (Transaction Interchange File). O sistema realiza leitura de dados de transações armazenadas em banco SQL Server, processa informações complementares em formato JSON e retorna dados consolidados sobre transações conc",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-consulta-configcat-pix,"Sistema atômico responsável por consultar feature toggles (flags de funcionalidades) no ConfigCat para o contexto de PIX. O serviço verifica se determinadas funcionalidades estão habilitadas ou desabilitadas e retorna mensagens personalizadas quando uma funcionalidade está desligada, incluindo informações sobre botões de ação e tipos de janela de mensagem para a interface do usuário.",03.01 - Informações Corporativas
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-conta-corrente-dominio,"O **sboot-ccbd-base-atom-conta-corrente-dominio** é um microserviço atômico Spring Boot responsável pela gestão do domínio de contas correntes corporativas do Banco Votorantim. O sistema implementa operações CRUD e regras de negócio para manutenção de cadastros, parâmetros, transações, bloqueios/desbloqueios, encerramentos e monitoramento de contas. Atua como serviço central para operações de domínio, integrando-se com múltiplas bases de dados (Sybase e MySQL) e utilizando mensageria assíncrona ",02.02 - Validações de Pagamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-conta-corrente-fecha,"O sistema **sboot-ccbd-base-atom-conta-corrente-fecha** é um serviço atômico Spring Boot responsável pelo processamento de fechamento de contas correntes do Banco Votorantim. Suas principais funcionalidades incluem: - **Fechamento diário de contas correntes**: Criação de histórico de saldos, atualização de limites, bloqueios e valores indisponíveis - **Virada de data**: Processamento de faixas de contas durante a virada do dia - **Geração de arquivo M06**: Arquivo de interface contábil com movim",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-conta-corrente-fintech,"O sistema **sboot-ccbd-base-atom-conta-corrente-fintech** é um serviço atômico desenvolvido em Java com Spring Boot, responsável por processar movimentações financeiras (débito e crédito) em contas correntes de produtos Fintech. O sistema consome mensagens de filas (RabbitMQ e Google Pub/Sub), valida transações, verifica duplicidade e registra movimentações no banco de dados MySQL (CCBDContaCorrente). Atua como um componente de efetivação de transações financeiras, garantindo a integridade e ras",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-conta-corrente-gestao-caixa-spb,"Sistema de gestão de conta corrente para controle de caixa SPB (Sistema de Pagamentos Brasileiro) do Banco Votorantim. O sistema fornece APIs REST para consulta de saldos, históricos e movimentações de contas correntes de clientes, fundos, veículos e nomes (empresas BV), além de gerenciar agrupamentos temporários de dados para análises específicas.",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-conta-corrente-gestao-caixa,"Sistema de gestão de conta corrente e caixa do Banco Votorantim (CCBD - Centro Corporativo de Banco de Dados). Trata-se de um serviço atômico REST que fornece consultas e operações relacionadas a saldos de contas correntes, históricos, variações e lançamentos, segmentados por clientes, fundos, veículos e nomes. O sistema realiza consultas em banco de dados Sybase e oferece endpoints para visualização de informações consolidadas e analíticas de movimentações financeiras.",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-conta-corrente-stdin,"O sistema **sboot-ccbd-base-atom-conta-corrente-stdin** é um microserviço atômico desenvolvido em Java com Spring Boot, responsável por gerenciar transações de conta corrente em modo Stand-In (contingência). Quando o sistema principal de conta corrente está indisponível, este serviço registra e processa operações de crédito, débito, bloqueios e transferências (TEF), armazenando-as temporariamente em banco de dados SQL Server e enviando para processamento posterior via RabbitMQ. O sistema garante",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-conta-corrente,"Sistema de gestão de contas correntes bancárias multi-banco (BV e BVSA) desenvolvido em arquitetura hexagonal. Gerencia operações de crédito, débito, TEF (Transferência Eletrônica de Fundos), bloqueios, saldos, encerramento de contas e integração com sistemas Fintech. Implementa controles de teto de gasto, saldo indisponível (D+x), validações de situação cadastral e publicação de eventos via Google Cloud Pub/Sub. Suporta processamento transacional com roteamento dinâmico entre bases de dados Syb",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-contabil,"O **sboot-ccbd-base-atom-contabil** é um serviço atômico responsável por sintetizar transações efetivadas de contas correntes e gerar movimentações contábeis correspondentes. O sistema consome mensagens de transações via Google Cloud Pub/Sub, processa as informações, cria registros de movimentação contábil em banco de dados MySQL e mantém lotes de movimentação em banco Sybase. Para cada transação, são geradas movimentações tanto para contas normais quanto para contas espelho, conforme parametriz",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-deb-advice-exception,"Sistema atômico responsável pelo gerenciamento de exceções relacionadas a transações de débito em cartões. O sistema recebe dados de transações que geraram exceções, armazena essas informações em banco de dados SQL Server e permite consultas e atualizações posteriores. Originalmente preparado para consumir mensagens de filas PubSub (Google Cloud), mas atualmente com essa funcionalidade desabilitada. O sistema faz parte do domínio CCBD (Cartão de Crédito e Débito) do Banco Votorantim.",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-deb-advice,"Sistema atômico responsável pelo processamento de mensagens de Advice (confirmação/estorno de transações) enviadas pela DXC para transações de cartão de débito. O sistema valida e processa diferentes tipos de advice (aprovação, estorno, desfazimento e desfazimento por sistema indisponível), atualizando as bases de dados de controle de transações e integrando com sistemas de efetivação via Google Cloud Pub/Sub.",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-deb-autorizador,"O sistema **sboot-ccbd-base-atom-deb-autorizador** é um serviço atômico desenvolvido em Spring Boot para autorização de transações de débito em cartões. O componente é responsável por validar, processar e registrar transações de débito, incluindo cálculo de IOF para transações internacionais, gerenciamento de dados de cartões (quina), estabelecimentos comerciais e controle transacional. O sistema integra-se com banco de dados SQL Server para persistência e oferece APIs REST para consumo por outr",02.01 - Agendamento e Recorrência
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-deb-stand-in,"O sistema **sboot-ccbd-base-atom-deb-stand-in** é um serviço atômico desenvolvido em Java com Spring Boot para autorização de transações de débito em modo Stand-In. O Stand-In é um mecanismo de contingência que permite autorizar transações quando o sistema principal de contas está indisponível ou fora do ar. O serviço recebe requisições de autorização de transações de débito, valida o saldo disponível, registra a transação em uma base de dados SQL Server, envia a transação para uma fila JMS (IBM",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-deb-validar-cartao,"Sistema atômico de validação de cartão de débito (Debt Card) desenvolvido em Spring Boot. O sistema consome mensagens de uma fila IBM MQ contendo informações sobre cartões de débito e realiza operações de validação, inserção e atualização no banco de dados SQL Server. Quando um cartão já está cadastrado, o sistema registra um log histórico e atualiza suas informações; caso contrário, realiza um novo cadastro.",02.02 - Validações de Pagamento
CCDB-BASE,Conta Corrente e Débitos - Base,sboot-ccbd-base-atom-debito-automatico,"Sistema atômico responsável por gerenciar débito automático dos produtos do banco digital (Banco Votorantim). O sistema realiza agendamento, processamento e controle de pagamentos via débito automático para produtos como cartão de crédito, financiamento de veículos e crédito pessoal. Integra-se com sistemas de pagamento (SPAG), filas de mensageria (RabbitMQ e IBM MQ) e publica eventos no Kafka para notificação de débitos efetivados.",02.01 - Agendamento e Recorrência
